#,AACB Web Link,Name,Logo,Format,# of Student,ProgramDeliveryOptions,Website,MainCampus,Country,State,Education,Accreditation,Programs-Undergraduate,Programs-Graduate,Programs-Doctoral,ProgramFormats,VisionMission,Description
11,https://www.aacsb.edu/accredited/a/american-university,American University,https://my.aacsb.edu/Portals/0/assets/images/contact/american-university-kogod.jpg,Private,"14,243","Exclusively Online
Fully Face-to-Face
Primarily Online",http://www.kogod.american.edu/,"American University
Kogod School of Business
4400 Massachusetts Avenue, Northwest
Washington , District of Columbia
20016-8044 , United States", United States, District of Columbia,"Undergraduate,
 Master's",Business,"Accounting,
Business Administration,
Business Administration & Music,
Business, Language, and Culture,
Finance","Accounting,
Analytics,
Business Administration,
Consulting,
Finance,
International Studies,
Law,
Management,
Marketing,
Real Estate,
Sustainability Management,
Taxation",,"1 Year
Full-Time
Partnership
Part-Time",We equip and empower the Kogod community to use business as a force for meaningful change.,"American University's Kogod School of Business, established in Washington, DC, more than sixty years ago, empowers its community to use business as a force for meaningful change. Not only do Kogod graduates call Wall Street and the corporate world home, but they alos lead non-profits, government agencies, and social-service organizations.  Washington, DC, serves as the ideal laboratory for learning through work, internships, and other forms of experiential education.  Kogod is the oldest accredited business school in Washington, DC.  The school is accredited by The Association to Advance Collegiate Schools of Business (AACSB International), which represents the highest standard of achievement for business schools worldwide."
12,https://www.aacsb.edu/accredited/a/american-university-in-dubai,American University in Dubai,https://my.aacsb.edu/Portals/0/assets/images/contact/American%20University%20of%20Dubai.png,Private,"1,798",,http://www.aud.edu/,"American University in Dubai
School of Business Administration
PO Box 28282
Sheikh Zayed Road, Interchange 5
Dubai , United Arab Emirates
United Arab Emirates"," United Arab Emirates
United Arab Emirates",,"Undergraduate,
 Master's",Business,,,,,"The mission of the School of Business Administration (SBA) is to provide U.A.E., G.C.C. and international students with an American-style, forward-looking and career-oriented business education that fosters critical thinking, ethical awareness and cultural sensitivity in future global business leaders.","The School of Business Administration at AUD is accredited by the Association to Advance Collegiate Schools of Business (AACSB). Equipped with a faculty of ranging expertise, academic and professional, graduates of the SBA at AUD are trained in all the facets of Business Administration, while also being allowed to network and gain professional exposure and experience, in order to become business leaders, regionally and internationally."
13,https://www.aacsb.edu/accredited/a/american-university-in-the-emirates,American University in the Emirates,https://my.aacsb.edu/Portals/0/assets/images/contact/american-uni-emirates.jpg,Private,,,http://aue.ae/,"American University in the Emirates
College of Business Administration
AUE, Block 6,7,10
Dubai International Academic City
Dubai , United Arab Emirates
503000 , United Arab Emirates", United Arab Emirates,,Master's,Business,,,,,,
14,https://www.aacsb.edu/accredited/a/american-university-of-beirut,American University of Beirut,https://my.aacsb.edu/Portals/0/assets/images/contact/American%20University%20of%20Beirut.png,Private,"7,653","Blended/Hybrid
Exclusively Online
Fully Face-to-Face",http://www.aub.edu.lb/,"American University of Beirut
Suliman S. Olayan School of Business
Riad El-Solh
PO Box 11-0236
Beirut , Lebanon
Lebanon"," Lebanon
Lebanon",,"Undergraduate,
 Master's",Business,"Accounting,
Business Information and Decision Systems,
Entrepreneurship & Family Business,
Finance,
Human Resources Management,
Management,
Marketing","Business Analytics,
Finance,
General Busiess,
General Business,
Human Resource Managment",,"Evenings and Weekends
Full-Time
Partnership
Part-Time","Enable world-class business research, learning, and knowledge transfer from our authoritative anchor point within the MENA region.","Business education at AUB started in 1900, but remained under the auspices of the Faculty of Arts and Sciences until September 2000, when the University established an independent school that was later named the Suliman S. Olayan School of Business (OSB). Despite being a new school, it was accredited by AACSB in 2009 and became recognized for its quality business education worldwide. Since its formal establishment, the school has successfully introduced new programs such as Executive MBA, three specialized master’s programs, and executive education, and has grown its full-time faculty complement from 13 in academic year 2000-2001 to 57 in academic year 2016-2017. More than 80% of its faculty are holders of doctoral degrees from top international institutions and represent more than 11 nationalities. OSB is widely recognized as a national and regional leader in business research with an international reputation for research excellence and innovation. Its curricula are continuously reviewed and improved, and are uniquely crafted with a balanced mix of theoretical and practical approaches. Aligned with the philosophy of the University, OSB serves as a benchmark of excellence for developing leaders and managers who bring societal and ethical perspectives to decision making, create shared and sustainable value within their organizations, and drive strategy and accelerate business outcomes. OSB’s vision heeds the world’s call to transform business education into becoming more adaptive, innovative, impactful, and connected."
15,https://www.aacsb.edu/accredited/a/american-university-of-kuwait,American University of Kuwait,https://my.aacsb.edu/Portals/0/assets/images/contact/American%20University%20of%20Kuwait.png,Private,"2,451",Fully Face-to-Face,http://www.auk.edu.kw/academics/business_economics.jsp,"American University of Kuwait
College of Business and Economics
PO Box 3323
Safat , Kuwait
13034 , Kuwait", Kuwait,,Undergraduate,Business,"Accounting,
Economics,
Finance,
Human Resources Management,
Management,
Marketing",,,Full-Time,"The American University of Kuwait (AUK) is a liberal arts institution dedicated to teaching, learning, and scholarship. The University offers programs that provide students with the knowledge and skills necessary for lifelong learning and professional success.","AUK enriches society by fostering an environment encouraging critical thinking, effective communication, personal growth, service, and leadership.  AUK has distinguished itself as a leading institution in Kuwait and in the region.  Through its portfolio of diverse undergraduate programs and course offerings based on an American higher education model, AUK has earned an admirable reputation in delivering innovative and agile pedagogy.  The College of Business and Economics (CBE) is one of three colleges at AUK and offers six majors in Accounting, Economics, Finance, Human Resource Management, Management and Marketing.  The faculty, administration, and staff aim to create a caring environment where every aspect of the student’s development gets attention and support. The course of study is designed to prepare students for the contemporary world where critical thinking, communication skills, and lifelong learning have become imperative. The Liberal Arts education system aims not only to guide the students to fulfill their educational goals, but also to instill effective critical thinking skills that they can apply to future careers in the fields of their choice.
 
Mission of the College

The College of Business and Economics prepares students through an American educational experience combining quality intellectual challenge and ethical professional practice for careers in Kuwait and beyond. The focus is on:

    Developing business in Kuwait and the Gulf. 
    Supporting rigorous programs that foster excellence in business teaching and scholarship. 
    Working together to learn and disseminate socially responsible practices to advance society.
    

Values of the College

The College of Business and Economics strives to uphold the following values:


    Freedom of thought, expression, and intellectual inquiry. 
    Respect for individual identity and rights, and cultural diversity. 
    Commitment to high standards of morality, integrity, and social responsibility. 
    Adherence to high professional standards and ethics.
    


Vision of the College

The College of Business and Economics aspires to be a leading academic unit recognized locally, regionally, and internationally for its institutional distinctiveness and academic excellence through the accomplishments of its graduates."
16,https://www.aacsb.edu/accredited/a/american-university-of-sharjah,American University of Sharjah,https://my.aacsb.edu/Portals/0/assets/images/contact/American%20University%20of%20Sharjah.png,Public,"5,183",Fully Face-to-Face,https://www.aus.edu/,"American University of Sharjah
School of Business Administration
PO Box 26666
Sharjah , United Arab Emirates
United Arab Emirates"," United Arab Emirates
United Arab Emirates",,"Undergraduate,
 Master's,
 Doctoral",Business,"Accounting,
Economics,
Finance,
Management,
Marketing,
MIS","Accounting,
Business Administration,
Finance",Business Administration,Full-Time,"The School of Business Administration leads the way in facilitating learning, cultivating and disseminating knowledge while transforming the lives of students. SBA strives to impact society in pursuit of sustainable economic and business activity in Sharjah, the UAE, and beyond.","As one of the most well-respected business schools in the region, we prepare tomorrow's global business leaders.  At the School of Business Administration (SBA), we strive to provide high-quality, American-style business education. Our programs provide local and global perspectives, promote critical thinking and develop effective communication skills. Today's effective business professional must have competence in many disciplines, an understanding of a variety of relationships and the ability to analyze evolving business, economic and governmental trends.  Regardless of the specialty area, we ensure that our students must become effective leaders who can organize and motivate groups to serve the goals of their organizations. We believe that in order to effectively adapt business practices to emerging conditions, such as the accelerating growth of technology, communications and the internationalization of the business world, a thorough grasp of current business and economic processes, theory and applications are essential. Our training has resulted in exemplary success, with our graduates being snapped up soon after graduation by some of the biggest multinational corporate names in the world.  Our highly qualified faculty members ensure that our curriculum is in sync with the constantly evolving trends and modes of the marketplace. Our efforts to ensure that our students are provided with the best and most up-to-date methods of instruction have been recognized internationally with accreditation from the Association to Advance Collegiate Schools of Business (AACSB International). This honor makes us part of an elite group, as fewer than five percent of the world's business schools have achieved this prestigious distinction."
17,https://www.aacsb.edu/accredited/a/american-university-of-the-middle-east,American University of the Middle East,https://my.aacsb.edu/Portals/0/assets/images/contact/American%20University%20of%20the%20Middle%20East.png,Private,"10,256",Fully Face-to-Face,http://www.aum.edu.kw/,"American University of the Middle East
College of Business
PO Box 220
Egaila Area, Dasman , Kuwait
15453 , Kuwait", Kuwait,,"Undergraduate,
 Master's",Business,"Accounting,
Business Administration",Business Administration,,"Evenings and Weekends
Full-Time",,
18,https://www.aacsb.edu/accredited/a/amrita-school-of-business-coimbatore-amrita-vishwa-vidyapeetham,"Amrita School of Business (Coimbatore), Amrita Vishwa Vidyapeetham",https://my.aacsb.edu/Portals/0/assets/images/contact/Amrita%20School%20of%20Business.PNG,Private,Fully Face-to-Face,,http://amrita.edu/asb,"Amrita School of Business (Coimbatore), Amrita Vishwa Vidyapeetham
Amrita School of Business
Ettimadai Post
Coimbatore , India
641 112 , India", India,,"Master's,
 Doctoral",Business,,"Business Analytics,
Finance and Accounting,
Human Resorce Management and Organizational Behaviour,
Marketing,
Operations Management",Management,"Full-Time
Part-Time","“To offer contemporary and quality post graduate management education for life and living; emphasizing research and societal benefit, while engaging with key stakeholders”.","Amrita School of Business (ASB) is a unit of Amrita Vishwa Vidyapeetham University. Our Chancellor is the world-renowned humanitarian leader Sri Mata Amritanandamayi Devi. ASB offers three programs, MBA, PhD part-time for working executives and faculty members and PhD full-time. Our motto is ‘education for life and living’. ASB received the coveted AACSB accreditation in 2019.  ASB is located within the large campus of the University Headquarters, on the foothills of the western-ghat mountains. We have qualified faculty with teaching, research and industry experience, supported by outstanding library resources, top-class infrastructure, strong international collaborations, extensive industry connect through regular colloquia, single-occupancy hostels for men and women and sports facilities, including an Olympic size swimming pool, well-appointed gym, tennis courts and playgrounds.  The MBA programme is structured according to global and national standards and the curriculum is revised periodically by incorporating the latest trends in business and technology. The MBA includes opportunities for additional certifications, co-curricular and extra-curricular activities, international exchange programmes, a dual degree programme, and community outreach programmes.  The PhD program draws upon global faculty resources and has attracted experienced professionals with more than 10 years’ experience on average, as student scholars. The program includes rigorous course work necessary to build a strong foundation for academic research.  ASB swiftly adapted to the challenges brought on by the Covid-19 pandemic and shifted the classes online. Access to all reading materials are provided through a VPN. Best practices were shared with students to maintain their health, especially of the eyes."
19,https://www.aacsb.edu/accredited/a/angelo-state-university,Angelo State University,https://my.aacsb.edu/Portals/0/assets/images/contact/angelo-state.png,Public,"10,826","Exclusively Online
Fully Face-to-Face",https://www.angelo.edu/colleges/norris-vincent-college-of-business/,"Angelo State University
Norris Vincent College of Business
ASU Station 11034
2222 Dena Drive
San Angelo , Texas
76909 , United States", United States, Texas,"Undergraduate,
 Master's",Business,"Accounting,
Finance,
International Business,
Management,
Marketing,
MIS","Accounting,
Business Administration",,"1 Year
Evenings and Weekends
Full-Time
Part-Time",,
20,https://www.aacsb.edu/accredited/a/antwerp-management-school,Antwerp Management School,,Public,"18,499",Blended/Hybrid,https://www.antwerpmanagementschool.be/,"Antwerp Management School
Boogkeers 5
Boogkeers 5
Antwerpen , Belgium
B-2000 , Belgium", Belgium,,Master's,,,"China-Europe business relations,
Executive MBA,
Finance,
Global Management,
Human Resource Management,
Information Technology Management,
Innovation and Entrepreneurship,
International Supply Chain Management,
IT architecture,
IT Governance and Assurance,
Management,
Management in the Fashion Industry,
Public Management,
Real Estate",,"1 Year
Full-Time
Partnership
Part-Time","Antwerp Management School wants to partner with its customers in creating sustainable value by cultivating talent to become global citizens, mastering the art of making decisions and leading people.","Antwerp Management School is a dynamic, innovative, and customer-centered service organization, fueled by an empowered team. We are a school that creates value for individual professionals, business teams, companies, and organizations in their search for healthy growth and sustainability. The faculty and staff do their utmost to provide students with an inspiring learning experience, by sharing both state-of-the-art knowledge and practical insight, thereby ensuring the usefulness of what students learn. We look further than the transfer of purely technical knowledge. As made explicit in our mission statement, we want to stimulate students' personal development as well. Our approach is straightforward: the better a student feels as a person, the more confidence they have when facing difficult business situations. The more accurate their self-image, the better they will be able to work with other people, lead others in a responsible way, and earn respect. This is what we stand for: OPENING MINDS TO IMPACT THE WORLD."
21,https://www.aacsb.edu/accredited/a/appalachian-state-university,Appalachian State University,https://my.aacsb.edu/Portals/0/assets/images/contact/Appalachian-State.jpg,Public,"20,072","Exclusively Online
Fully Face-to-Face",http://www.business.appstate.edu/,"Appalachian State University
Walker College of Business
416 Howard Street
Kenneth E. Peacock Hall - ASU Box 32037
Boone , North Carolina
28608-2037 , United States", United States, North Carolina,"Undergraduate,
 Master's",Business,"Accounting,
Computer Information Systems,
Economics,
Finance and Banking,
Hospitality and Tourism Management,
International Business,
Management,
Marketing,
Risk and Insurance,
Supply Chain Management","Accounting,
Applied Data Analytics,
Business Administration",,"1 Year
Evenings and Weekends
Full-Time
Part-Time","We deliver transformational educational experiences that prepare and inspire students to be ethical, innovative, and engaged business leaders who positively impact our community, both locally and globally.    Dedicated to instructional excellence, our faculty is also actively engaged in scholarship in the areas of practice, theory and pedagogy, as well as service activities that make possible these transformational educational experiences and serve to benefit the business discipline and the broader community.","The mission of the Walker College of Business at Appalachian State University is to deliver transformational educational experiences that prepare and inspire students to be ethical, innovative, and engaged business leaders who positively impact our community, both locally and globally. The college has an enrollment of approximately 2,860 undergraduate and 160 graduate students and is consistently included in the Princeton Review's Best Business Schools."
22,https://www.aacsb.edu/accredited/a/arizona-state-university,Arizona State University,https://my.aacsb.edu/Portals/0/assets/images/contact/arizona-state.jpg,Public,"111,249",,http://wpcarey.asu.edu/,"Arizona State University
W. P. Carey School of Business
BAC-600
PO Box 873506
Tempe , Arizona
85287-3506 , United States", United States, Arizona,"Undergraduate,
 Master's,
 Doctoral",Business & Accounting,,,,,"The W. P. Carey School of Business educates tomorrow’s business leaders, takes an entrepreneurial approach to learning, and conducts groundbreaking research, in order to create positive change on a global scale.","The W. P. Carey School of Business at Arizona State University is one of the largest business schools in the United States with more than 1,500 graduate students and more than 13,000 undergraduates. From our world-renowned faculty representing six continents to thousands of outstanding students who join us every year from around the world, the W. P. Carey School welcomes diversity and encourages global thinking. The W. P. Carey School of Business creates leaders who rethink the nature of business, engage the world, and create a better future. Our mission is to educate tomorrow's business leaders, take an entrepreneurial approach to learning, and conduct groundbreaking research, in order to create positive change on a global scale."
23,https://www.aacsb.edu/accredited/a/arkansas-state-university,Arkansas State University,https://my.aacsb.edu/Portals/0/assets/images/contact/Arkansas%20State.png,Public,"12,166",,http://business.astate.edu/,"Arkansas State University
College of Business
Business 103
PO Box 970
Jonesboro , Arkansas
72467 , United States", United States, Arkansas,"Undergraduate,
 Master's",Business,,,,,"We develop career-ready undergraduate and master level domestic and international students by delivering high quality face-to-face and online degree programs focusing on leadership/teamwork, professional development and engagement, global business, technology, decision tools and social responsibility/ethics through action-based learning.","The Neil Griffin College of Business has 12 undergraduate degree programs representing all the major business disciplines, along with 11 minors in the various business disciplines.  At the graduate level we offer an MBA, a Masters of Accountancy (MAcc) and an online MBA.  For the traditional MBA we have 6 areas of Concentrations consisting of Marketing, International Business, Supply Chain Management, Finance, Management Information Systems, and Healthcare Administration, while in the online MBA we offer concentrations in Marketing, Finance and Supply Chain Management.  Our online MBA has been consistently ranked among the best online MBA programs with the highest marks in student engagement and faculty credentials.  We run the traditional MBA parallel with the online MBA so the same faculty are teaching the same courses simultaneously in class and online at the same time, assuring students in both delivery modalities get the same educational experience, and we blend online students with F2F students for maximum student engagement and experiential learning."
24,https://www.aacsb.edu/accredited/a/arkansas-tech-university,Arkansas Tech University,https://my.aacsb.edu/Portals/0/assets/images/contact/Arkansas%20Tech.png,Public,"9,693","Exclusively Online
Fully Face-to-Face
Multi-Modal
Primarily Online",http://business.atu.edu/,"Arkansas Tech University
College of Business
Rothwell Hall, Suite 433
106 West O Street
Russellville , Arkansas
72801-2222 , United States", United States, Arkansas,"Undergraduate,
 Master's",Business,"Accounting,
Business Data Analytics,
Digital Marketing,
Finance,
Management",Broad Coverage of Business Disciplines,,"Full-Time
Part-Time","The College of Business at Arkansas Tech University is a highly engaged organization that cultivates life-long learners through academic programs tailored to the dynamic needs of employers. Our graduates will add value at the entry-level and beyond because of experiential learning, network building and focused student projects. Our graduates will harness appropriate technologies and cultivate interpersonal skills to achieve objectives and make sound ethical business decisions.","The College of Business at Arkansas Tech University is a highly engaged organization that cultivates productive graduates through academic programs tailored to the dynamic needs of employers. Our graduates will add value at the entry-level and beyond because of experiential learning, network building and focused student projects.  Our graduates will harness appropriate technolgoies and cultivate interpersonal skills to achieve objectives and make sound ethical business decisions.  Our vision is that we will be known for producing graduates who add value for employers and their communities and who are leaders in every field"
